Company Name,Geography,Geography Code,Sector,CA100 Focus Company,Large/Medium Classification,ISINs,SEDOL,Publication Date,Assessment Date,Region,Carbon Performance Regional Alignment 2025,Carbon Performance Regional Alignment 2027,Carbon Performance Regional Alignment 2035,Carbon Performance Regional Alignment 2050,Regional Benchmark ID,Years with targets,History to Projection cutoff year,CP Unit,Assumptions,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
EDF,France,FRA,Electricity Utilities,Yes,large,FR0010242511,B0NJJ17,01/11/2021,05/08/2021,Europe,1.5 Degrees,,Below 2 Degrees,National Pledges,Europe_Electricity Utilities_01/04/2022,2023;2030;2050,2020,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company has set targets to reduce its absolute emissions. To calculate this company’s targeted emissions intensities, TPI assumes that the company’s electricity generation grows according to the national or regional electricity generation growth rate projected in the IEA’s 2020 World Energy Outlook’s Stated Policies Scenario (STEPS).",0.123,0.102,0.095,0.077,0.082,0.057,0.055,0.051,0.059643409,0.068286819,0.076930228,0.072858138,0.068786049,0.064713959,0.060641869,0.056569779,0.052497689,0.0484256,0.04600432,0.04358304,0.04116176,0.03874048,0.0363192,0.03389792,0.03147664,0.02905536,0.02663408,0.0242128,0.02179152,0.01937024,0.01694896,0.01452768,0.0121064,0.00968512,0.00726384,0.00484256,0.00242128,0.0
Edison International,United States of America,USA,Electricity Utilities,No,medium,US2810201077,2829515,01/11/2021,05/08/2021,North-America,1.5 Degrees,,Below 2 Degrees,Below 2 Degrees,North-America_Electricity Utilities_01/04/2022,2045,2020,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),TPI has not made any further assumptions in order to project this company’s Carbon Performance.,0.352441691,0.175994049,0.194591358,0.146056917,0.113398227,0.084368281,0.102058405,0.122923678,0.118006731,0.113089784,0.108172837,0.10325589,0.098338943,0.093421996,0.088505048,0.083588101,0.078671154,0.073754207,0.06883726,0.063920313,0.059003366,0.054086419,0.049169471,0.044252524,0.039335577,0.03441863,0.029501683,0.024584736,0.019667789,0.014750841,0.009833894,0.004916947,0.0,,,,,
Electric Power Development,Japan,JPN,Electricity Utilities,No,large,JP3551200003,B02Q328,01/11/2023,04/07/2023,OECD,Not Aligned,,Not Aligned,Not Aligned,OECD_Electricity Utilities_01/04/2022,,2021,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company discloses 2025, 2030 and 2050 targets, but as these are regional targets that do not apply to the company’s entire operations, they are not accepted in TPI’s methodology. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",0.68,0.67,0.64,0.65,0.66,0.66,0.66,0.65,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Power Development,Japan,JPN,Electricity Utilities,No,large,JP3551200003,B02Q328,01/09/2022,22/07/2022,OECD,Not Aligned,,Not Aligned,Not Aligned,OECD_Electricity Utilities_01/04/2022,,2020,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company discloses 2025, 2030 and 2050 targets, but as these are regional targets that do not apply to the company's entire operations, they are not accepted in TPI's methodology. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",,,0.67,0.67,0.64,0.65,0.62,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Power Development,Japan,JPN,Electricity Utilities,No,large,JP3551200003,B02Q328,01/11/2021,05/08/2021,OECD,Not Aligned,,Not Aligned,Not Aligned,OECD_Electricity Utilities_01/04/2022,,2019,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company discloses 2030 and 2050 targets, but as these are regional targets that do not apply to the company’s entire operations, they are not accepted in TPI’s methodology.",,,0.666,0.667,0.641,0.649,0.619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elia Group,Belgium,BEL,Electricity Utilities,No,medium,BE0003822393,B09M9F4,01/11/2021,05/08/2021,Europe,No or unsuitable disclosure,,No or unsuitable disclosure,No or unsuitable disclosure,Europe_Electricity Utilities_01/04/2022,,,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company has not disclosed sufficient data on current emissions, or any quantitative targets to reduce its emissions, which TPI can use to estimate current or future Carbon Performance.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emera,Canada,CAN,Electricity Utilities,No,small,CA2908761018,2650050,01/11/2021,05/08/2021,North-America,Not Aligned,,Not Aligned,National Pledges,North-America_Electricity Utilities_01/04/2022,2025;2040;2050,2020,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company has set 2025 and 2040 targets to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI assumes that the company’s electricity generation grows according to the national or regional electricity generation growth rate projected in the IEA’s 2020 World Energy Outlook’s Stated Policies Scenario (STEPS).",0.728501049,0.611021563,0.685187265,0.667267144,0.586833182,0.555496988,0.549188403,0.553231574,0.521407361,0.489583147,0.457758934,0.425934721,0.394110507,0.378432397,0.362754286,0.347076175,0.331398065,0.315719954,0.300041844,0.284363733,0.268685622,0.253007512,0.237329401,0.22165129,0.20597318,0.190295069,0.174616958,0.158938848,0.143044963,0.127151078,0.111257193,0.095363309,0.079469424,0.063575539,0.047681654,0.03178777,0.015893885,0.0
Enbw Energie,Germany,DEU,Electricity Utilities,No,large,DE0005220008,5341102,01/11/2021,05/08/2021,Europe,National Pledges,,1.5 Degrees,1.5 Degrees,Europe_Electricity Utilities_01/04/2022,2035,2020,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),The company discloses an emissions intensity using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology.,,0.303370868,0.263624438,0.276105538,0.297539736,0.27752337,0.203422093,0.232766387,0.217248628,0.201730869,0.18621311,0.170695351,0.155177592,0.139659832,0.124142073,0.108624314,0.093106555,0.077588796,0.062071037,0.046553277,0.031035518,0.015517759,0.0,,,,,,,,,,,,,,,
Endesa,Spain,ESP,Electricity Utilities,No,large,ES0130670112,5271782,01/11/2021,05/08/2021,Europe,1.5 Degrees,,National Pledges,National Pledges,Europe_Electricity Utilities_01/04/2022,2023;2030;2050,2020,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),TPI has not made any further assumptions in order to project this company’s Carbon Performance.,,0.46,0.461,0.418,0.439,0.418,0.282,0.179991701,0.169994467,0.159997234,0.15,0.142142857,0.134285714,0.126428571,0.118571429,0.110714286,0.102857143,0.095,0.09025,0.0855,0.08075,0.076,0.07125,0.0665,0.06175,0.057,0.05225,0.0475,0.04275,0.038,0.03325,0.0285,0.02375,0.019,0.01425,0.0095,0.00475,0.0
Enel,Italy,ITA,Electricity Utilities,Yes,large,IT0003128367,7144569,01/11/2023,04/07/2023,OECD,1.5 Degrees,,Below 2 Degrees,Below 2 Degrees,OECD_Electricity Utilities_01/04/2022,2023;2024;2025;2030;2040,2022,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company discloses an emissions intensity using an activity measure and/or emissions figure that is inconsistent with TPI's methodology for this sector. The carbon intensity has been recalculated according to TPI methodology. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",0.402836314,0.406851265,0.419876625,0.405978336,0.42100882,0.377248451,0.302842504,0.21568457,0.227128771,0.227996154,0.148,0.14,0.13,0.1204,0.1108,0.1012,0.0916,0.082,0.0738,0.0656,0.0574,0.0492,0.041,0.0328,0.0246,0.0164,0.0082,0.0,,,,,,,,,,
Enel,Italy,ITA,Electricity Utilities,Yes,large,IT0003128367,7144569,01/09/2022,22/07/2022,OECD,1.5 Degrees,,Below 2 Degrees,Below 2 Degrees,OECD_Electricity Utilities_01/04/2022,2023;2024;2030;2040,2021,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company discloses an emissions intensity using an activity measure and/or emissions figure that is inconsistent with TPI's methodology for this sector. The carbon intensity has been recalculated according to TPI methodology. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",,0.41,0.42,0.41,0.42,0.38,0.3,0.22,0.23,0.19,0.15,0.14,0.13,0.12,0.11,0.1,0.09,0.08,0.07,0.07,0.06,0.05,0.04,0.03,0.02,0.02,0.01,0.0,,,,,,,,,,
Enel,Italy,ITA,Electricity Utilities,Yes,large,IT0003128367,7144569,01/11/2021,05/08/2021,OECD,1.5 Degrees,,Below 2 Degrees,National Pledges,OECD_Electricity Utilities_01/04/2022,2023;2030;2050,2020,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),The company discloses an emissions intensity using an activity measure and/or emissions figure that is inconsistent with TPI's methodology for this sector. The carbon intensity has been recalculated according to TPI methodology.,0.402836314,0.406851265,0.419876625,0.405978336,0.42100882,0.377248451,0.302842504,0.21568457,0.193123047,0.170561523,0.148,0.138571429,0.129142857,0.119714286,0.110285714,0.100857143,0.091428571,0.082,0.0779,0.0738,0.0697,0.0656,0.0615,0.0574,0.0533,0.0492,0.0451,0.041,0.0369,0.0328,0.0287,0.0246,0.0205,0.0164,0.0123,0.0082,0.0041,0.0
Entergy,United States of America,USA,Electricity Utilities,No,medium,US29364G1031,2317087,01/11/2021,05/08/2021,North-America,Not Aligned,,Not Aligned,National Pledges,North-America_Electricity Utilities_01/04/2022,2030;2050,2020,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),TPI has not made any further assumptions in order to project this company’s Carbon Performance.,0.26,0.25,0.237818762,0.263,0.268,0.281,0.27,0.265,0.262631143,0.260262286,0.257893428,0.255524571,0.253155714,0.250786857,0.248417999,0.246049142,0.243680285,0.241311428,0.229245856,0.217180285,0.205114714,0.193049142,0.180983571,0.168917999,0.156852428,0.144786857,0.132721285,0.120655714,0.108590143,0.096524571,0.084459,0.072393428,0.060327857,0.048262286,0.036196714,0.024131143,0.012065571,0.0
Evergy,United States of America,USA,Electricity Utilities,No,medium,US30034W1062,BFMXGR0,01/11/2021,05/08/2021,North-America,Not Aligned,,Not Aligned,Below 2 Degrees,North-America_Electricity Utilities_01/04/2022,2030;2045,2019,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company has set a target to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI assumes that the company’s electricity generation grows according to the national or regional electricity generation growth rate projected in the IEA’s 2020 World Energy Outlook’s Stated Policies Scenario (STEPS).",,,,0.716379056,0.5794,0.5773,0.5365,0.513039947,0.489579894,0.46611984,0.442659787,0.419199734,0.395739681,0.372279628,0.348819574,0.325359521,0.301899468,0.278439415,0.259876787,0.241314159,0.222751532,0.204188904,0.185626277,0.167063649,0.148501021,0.129938394,0.111375766,0.092813138,0.074250511,0.055687883,0.037125255,0.018562628,0.0,,,,,
Eversource Energy,United States of America,USA,Electricity Utilities,No,medium,US30040W1080,BVVN4Q8,01/11/2021,05/08/2021,North-America,1.5 Degrees,,1.5 Degrees,1.5 Degrees,North-America_Electricity Utilities_01/04/2022,2030,2020,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),TPI has not made any further assumptions in calculate this company’s Carbon Performance.,0.739920565,0.692638704,0.721901926,0.51392473,0.425853619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
Exelon,United States of America,USA,Electricity Utilities,No,large,US30161N1019,2670519,01/11/2021,05/08/2021,North-America,1.5 Degrees,,Below 2 Degrees,National Pledges,North-America_Electricity Utilities_01/04/2022,,2020,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company has disclosed a 2030 target, but insufficient detail is provided so it cannot be included in TPI’s Carbon Performance assessment.",0.091732157,0.0823483,0.037855503,0.048084978,0.048871776,0.045627729,0.045374028,0.042736223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Firstenergy,United States of America,USA,Electricity Utilities,Yes,medium,US3379321074,2100920,01/11/2021,05/08/2021,North-America,Not Aligned,,Not Aligned,National Pledges,North-America_Electricity Utilities_01/04/2022,2030;2050,2020,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company has set a target to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI assumes that the company’s electricity generation grows according to the national or regional electricity generation growth rate projected in the IEA’s 2020 World Energy Outlook’s Stated Policies Scenario (STEPS).",,,0.525355825,0.553,0.539,0.488,0.92,0.915,0.901171823,0.887343645,0.873515468,0.85968729,0.845859113,0.832030936,0.818202758,0.804374581,0.790546403,0.776718226,0.737882315,0.699046403,0.660210492,0.621374581,0.58253867,0.543702758,0.504866847,0.466030936,0.427195024,0.388359113,0.349523202,0.31068729,0.271851379,0.233015468,0.194179557,0.155343645,0.116507734,0.077671823,0.038835911,0.0
Fortis,Canada,CAN,Electricity Utilities,No,medium,CA3495531079,2347200,01/09/2022,22/07/2022,North-America,Not Aligned,,National Pledges,National Pledges,North-America_Electricity Utilities_01/04/2022,2035;2050,2020,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company has set a target to reduce its absolute emissions. To calculate this company's targeted emissions intensity, TPI has assumed that the company's electricity generation grows according to the national or regional electricity generation growth rate projected in the IEA's 2020 World Energy Outlook's Stated Policies Scenario (STEPS). When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",,0.598,0.688,0.689,0.651,0.576,0.628,0.57,0.543,0.515,0.487,0.46,0.432,0.405,0.377,0.349,0.322,0.294,0.266,0.239,0.211,0.183,0.156,0.145,0.135,0.125,0.114,0.104,0.093,0.083,0.073,0.062,0.052,0.042,0.031,0.021,0.01,0.0
Fortis,Canada,CAN,Electricity Utilities,No,medium,CA3495531079,2347200,01/11/2021,05/08/2021,North-America,Not Aligned,,National Pledges,Not Aligned,North-America_Electricity Utilities_01/04/2022,2035,2020,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company has set a target to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI assumes that the company’s electricity generation grows according to the national or regional electricity generation growth rate projected in the IEA’s 2020 World Energy Outlook’s Stated Policies Scenario (STEPS).",,0.597729645,0.68846681,0.688519408,0.651311081,0.576161057,0.628425379,0.570419351,0.543044714,0.515670076,0.488295439,0.460920802,0.433546164,0.406171527,0.378796889,0.351422252,0.324047614,0.296672977,0.26929834,0.241923702,0.214549065,0.187174427,0.15979979,,,,,,,,,,,,,,,
Fortum,Finland,FIN,Electricity Utilities,Yes,large,FI0009007132,5579550,01/11/2021,05/08/2021,Europe,Below 2 Degrees,,National Pledges,National Pledges,Europe_Electricity Utilities_01/04/2022,2050,2019,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),TPI has not made any further assumptions in order to project this company’s Carbon Performance.,0.2,0.177,0.166,0.173,0.174,0.186,0.183,0.177096774,0.171193548,0.165290323,0.159387097,0.153483871,0.147580645,0.141677419,0.135774194,0.129870968,0.123967742,0.118064516,0.11216129,0.106258065,0.100354839,0.094451613,0.088548387,0.082645161,0.076741935,0.07083871,0.064935484,0.059032258,0.053129032,0.047225806,0.041322581,0.035419355,0.029516129,0.023612903,0.017709677,0.011806452,0.005903226,0.0
Gulf Energy Development,Thailand,THA,Electricity Utilities,No,large,TH8319010Z06,BLR5MP3,01/11/2023,04/07/2023,non-OECD,Below 2 Degrees,,National Pledges,Not Aligned,non-OECD_Electricity Utilities_01/04/2022,2023;2030,2022,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"TPI has not made any further assumptions in order to project this company’s Carbon Performance. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",,,,,0.378342764,0.391149945,0.382688755,0.376848019,0.379755186,0.379352956,0.37444,0.364555714,0.354671429,0.344787143,0.334902857,0.325018571,0.315134286,0.30525,,,,,,,,,,,,,,,,,,,,
Gulf Energy Development,Thailand,THA,Electricity Utilities,No,large,TH8319010Z06,BLR5MP3,01/09/2022,22/07/2022,non-OECD,Below 2 Degrees,,National Pledges,Not Aligned,non-OECD_Electricity Utilities_01/04/2022,2023;2030,2021,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"TPI has not made any further assumptions in order to project this company's Carbon Performance. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",,,,,,0.42,0.41,0.38,0.38,0.38,0.37,0.36,0.35,0.34,0.33,0.33,0.32,0.31,,,,,,,,,,,,,,,,,,,,
Gulf Energy Development,Thailand,THA,Electricity Utilities,No,large,TH8319010Z06,BLR5MP3,01/11/2021,05/08/2021,non-OECD,1.5 Degrees,,National Pledges,Not Aligned,non-OECD_Electricity Utilities_01/04/2022,2023;2030,2020,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),TPI has not made any further assumptions in order to project this company’s Carbon Performance.,,,,,,0.413,0.384,0.405,0.3942,0.3834,0.3726,0.362764286,0.352928571,0.343092857,0.333257143,0.323421429,0.313585714,0.30375,,,,,,,,,,,,,,,,,,,,
Hawaiian Electric,United States of America,USA,Electricity Utilities,No,small,US4198701009,2415204,01/11/2021,05/08/2021,North-America,Not Aligned,,Not Aligned,Not Aligned,North-America_Electricity Utilities_01/04/2022,,2020,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),TPI has not made any further assumptions in order to project this company’s Carbon Performance.,0.79816,0.80162,0.80059,0.798,0.804,0.802,0.811,0.804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro One,Canada,CAN,Electricity Utilities,No,medium,CA4488112083,BYYXJY9,01/11/2021,05/08/2021,North-America,Not Assessed,,Not Assessed,Not Assessed,North-America_Electricity Utilities_01/04/2022,,,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company’s activities lie outside the scope of TPI’s Carbon Performance assessment of this sector, hence the company is not assessed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iberdrola,Spain,ESP,Electricity Utilities,Yes,large,ES0144580Y14,B288C92,01/11/2023,04/07/2023,OECD,1.5 Degrees,,1.5 Degrees,1.5 Degrees,OECD_Electricity Utilities_01/04/2022,2025;2030,2022,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"TPI has not made any further assumptions in order to project this company’s Carbon Performance. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",0.226,0.212,0.185,0.131,0.136,0.112,0.11,0.098,0.096,0.088,0.082,0.076,0.07,0.056,0.042,0.028,0.014,0.0,,,,,,,,,,,,,,,,,,,,
Iberdrola,Spain,ESP,Electricity Utilities,Yes,large,ES0144580Y14,B288C92,01/09/2022,22/07/2022,OECD,1.5 Degrees,,Below 2 Degrees,National Pledges,OECD_Electricity Utilities_01/04/2022,2022;2025;2030;2050,2022,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"TPI adopts a conservative approach and assumes 2050 is the latest date the company will achieve its net zero target. To accept an earlier date, the company must explicitly commit to a net zero target 'by' an earlier year. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",,0.21,0.19,0.13,0.14,0.11,0.11,0.1,0.1,0.1,0.09,0.08,0.07,0.07,0.06,0.06,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.0,0.0,0.0
Iberdrola,Spain,ESP,Electricity Utilities,Yes,large,ES0144580Y14,B288C92,01/11/2021,05/08/2021,OECD,1.5 Degrees,,Below 2 Degrees,National Pledges,OECD_Electricity Utilities_01/04/2022,2030;2050,2020,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),TPI has not made any further assumptions in order to project this company’s Carbon Performance.,0.226,0.212,0.185,0.131,0.136,0.112,0.11,0.098,0.0932,0.0884,0.0836,0.0788,0.074,0.0692,0.0644,0.0596,0.0548,0.05,0.0475,0.045,0.0425,0.04,0.0375,0.035,0.0325,0.03,0.0275,0.025,0.0225,0.02,0.0175,0.015,0.0125,0.01,0.0075,0.005,0.0025,0.0
Idacorp,United States of America,USA,Electricity Utilities,No,small,US4511071064,2296937,01/11/2021,05/08/2021,North-America,Not Aligned,,Not Aligned,Not Aligned,North-America_Electricity Utilities_01/04/2022,,2020,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company has not disclosed any quantitative targets to reduce its emissions, which TPI can use to estimate future Carbon Performance.",0.515,0.4624,0.4319,0.3921,0.29,0.29,0.3,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEPCO,South Korea,KOR,Electricity Utilities,Yes,large,KR7015760002,6495730,01/11/2023,04/07/2023,OECD,Not Aligned,,Not Aligned,National Pledges,OECD_Electricity Utilities_01/04/2022,2030;2050,2021,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company has set a target to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI assumes that the company’s electricity generation grows according to the national or regional electricity generation growth rate projected in the IEA’s 2020 World Energy Outlook’s Stated Policies Scenario (STEPS).
Furthermore, TPI assumes that the net zero vision constitutes a commitment. However, we cannot guarantee this view will be upheld in future assessments of the company if the ambiguity in public disclosures persists.   When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",0.487,0.471,0.464,0.477,0.506,0.516,0.494,0.445,0.437267248,0.418962772,0.400658295,0.382353818,0.364049342,0.345744865,0.327440388,0.309135912,0.290831435,0.272526958,0.258900611,0.245274263,0.231647915,0.218021567,0.204395219,0.190768871,0.177142523,0.163516175,0.149889827,0.136263479,0.122637131,0.109010783,0.095384435,0.081758088,0.06813174,0.054505392,0.040879044,0.027252696,0.013626348,0.0
KEPCO,South Korea,KOR,Electricity Utilities,Yes,large,KR7015760002,6495730,01/09/2022,22/07/2022,OECD,Not Aligned,,Not Aligned,National Pledges,OECD_Electricity Utilities_01/04/2022,2030;2050,2020,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company has set a target to reduce its absolute emissions. To calculate this company's targeted emissions intensity, TPI assumes that the company's electricity generation grows according to the national or regional electricity generation growth rate projected in the IEA's 2020 World Energy Outlook's Stated Policies Scenario (STEPS).

Furthermore, TPI assumes that the net zero vision constitutes a commitment. However, we cannot guarantee this view will be upheld in future assessments of the company if the ambiguity in public disclosures persist. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",,0.47,0.46,0.48,0.51,0.52,0.49,0.45,0.43,0.41,0.39,0.38,0.36,0.34,0.32,0.31,0.29,0.27,0.26,0.24,0.23,0.22,0.2,0.19,0.18,0.16,0.15,0.14,0.12,0.11,0.09,0.08,0.07,0.05,0.04,0.03,0.01,0.0
KEPCO,South Korea,KOR,Electricity Utilities,Yes,large,KR7015760002,6495730,01/11/2021,05/08/2021,OECD,Not Aligned,,Not Aligned,Not Aligned,OECD_Electricity Utilities_01/04/2022,2030,2019,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company has set a target to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI assumes that the company’s electricity generation grows according to the national or regional electricity generation growth rate projected in the IEA’s 2020 World Energy Outlook’s Stated Policies Scenario (STEPS).",0.487,0.471,0.464,0.477,0.506,0.516,0.494,0.472415863,0.450831727,0.42924759,0.407663453,0.386079316,0.36449518,0.342911043,0.321326906,0.299742769,0.278158633,0.256574496,,,,,,,,,,,,,,,,,,,,
Kansai Elec Power,Japan,JPN,Electricity Utilities,No,large,JP3228600007,6483489,01/11/2023,04/07/2023,OECD,Not Aligned,,National Pledges,National Pledges,OECD_Electricity Utilities_01/04/2022,2025;2050,2021,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company discloses an emissions intensity using an activity measure and/or emissions figure that is inconsistent with TPI's methodology for this sector. The carbon intensity has been recalculated according to TPI methodology. The company has set a target to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI assumes that the company’s electricity generation grows according to the national or regional electricity generation growth rate projected in the IEA’s 2020 World Energy Outlook’s Stated Policies Scenario (STEPS). When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",,0.416678061,0.422657688,0.417472752,0.346944386,0.273395091,0.271442113,0.318883929,0.25261424,0.25261424,0.25261424,0.25261424,0.25261424,0.242088647,0.231563053,0.22103746,0.210511867,0.199986273,0.18946068,0.178935087,0.168409493,0.1578839,0.147358307,0.136832713,0.12630712,0.115781527,0.105255933,0.09473034,0.084204747,0.073679153,0.06315356,0.052627967,0.042102373,0.03157678,0.021051187,0.010525593,-7.29e-17,0.0
Kansai Elec Power,Japan,JPN,Electricity Utilities,No,large,JP3228600007,6483489,01/09/2022,22/07/2022,OECD,Not Aligned,,National Pledges,National Pledges,OECD_Electricity Utilities_01/04/2022,2025;2050,2020,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company discloses an emissions intensity using an activity measure and/or emissions figure that is inconsistent with TPI's methodology for this sector. The carbon intensity has been recalculated according to TPI methodology. The company has set a target to reduce its absolute emissions. To calculate this company's targeted emissions intensity, TPI assumes that the company's electricity generation grows according to the national or regional electricity generation growth rate projected in the IEA's 2020 World Energy Outlook's Stated Policies Scenario (STEPS). When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",,0.42,0.42,0.42,0.35,0.27,0.27,0.32,0.31,0.3,0.29,0.28,0.27,0.26,0.25,0.24,0.23,0.22,0.21,0.2,0.19,0.18,0.16,0.15,0.14,0.13,0.12,0.11,0.1,0.09,0.08,0.07,0.05,0.04,0.03,0.02,0.01,0.0
Kansai Elec Power,Japan,JPN,Electricity Utilities,No,large,JP3228600007,6483489,01/11/2021,05/08/2021,OECD,Not Aligned,,Not Aligned,National Pledges,OECD_Electricity Utilities_01/04/2022,2030;2050,2019,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company discloses an emissions intensity using an activity measure and/or emissions figure that is inconsistent with TPI's methodology for this sector. The carbon intensity has been recalculated according to TPI methodology. The company has set a target to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI assumes that the company’s electricity generation grows according to the national or regional electricity generation growth rate projected in the IEA’s 2020 World Energy Outlook’s Stated Policies Scenario (STEPS).",,0.416678061,0.422657688,0.417472752,0.346944386,0.273395091,0.271442113,0.271664636,0.271887158,0.272109681,0.272332204,0.272554727,0.27277725,0.272999773,0.273222296,0.273444819,0.273667341,0.273889864,0.260195371,0.246500878,0.232806385,0.219111891,0.205417398,0.191722905,0.178028412,0.164333919,0.150639425,0.136944932,0.123250439,0.109555946,0.095861453,0.082166959,0.068472466,0.054777973,0.04108348,0.027388986,0.013694493,0.0
