Company Name,Geography,Geography Code,Sector,CA100 Company?,Large/Medium Classification,ISINs,SEDOL,Publication Date,Assessment Date,Level,Performance compared to previous year,Q1L0|Does the company acknowledge climate change as a significant issue for the business?,Q2L1|Does the company recognise climate change as a relevant risk and/or opportunity for the business?,Q3L1|Does the company have a policy (or equivalent) commitment to action on climate change?,Q4L2|Has the company set greenhouse gas emission reduction targets?,Q5L2|Has the company published information on its Scope 1 and 2 greenhouse gas emissions?,Q6L3|Has the company nominated a board member or board committee with explicit responsibility for oversight of the climate change policy?,Q7L3|Has the company set quantitative targets for reducing its greenhouse gas emissions?,Q8L3|Does the company report on Scope 3 emissions?,Q9L3|Has the company had its operational (Scope 1 and/or 2) greenhouse gas emissions data verified?,Q10L3|Does the company support domestic and international efforts to mitigate climate change?,Q11L3|Does the company have a process to manage climate-related risks?,Q12L3|Does the company disclose materially important Scope 3 emissions?,Q13L4|Has the company set long-term quantitative targets for reducing its greenhouse gas emissions?,Q14L4|Does the company's remuneration for senior executives incorporate climate change performance?,Q15L4|Does the company incorporate climate change risks and opportunities in their strategy?,Q16L4|Does the company undertake climate scenario planning?,Q17L4|Does the company disclose an internal price of carbon?,Q18L4|Does the company disclose the actions necessary to meet its emissions-reduction targets?,Q19L5|Does the company quantify the key elements of its emissions reduction strategy and the proportional impact of each action in achieving its targets?,Q20L5|Does the company's transition plan clarify the role that will be played by offsets and/or negative emissions technologies?,Q21L5|Does the company commit to phasing out capital expenditure on carbon intensive assets or products?,Q22L5|Does the company align future capital expenditures with its long-term decarbonisation goals and disclose how the alignment is determined?,Q23L5|Does the company ensure consistency between its climate change policy and the positions taken by trade associations of which it is a member?
China Yangtze Power,China,CHN,Electricity Utilities,No,small,CNE000001G87,6711630,01/11/2023,17/04/2023,2,new,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Not Applicable,No,No,No,No,No,No,No,No,No,No,No
Chongqing Changan Automobile,China,CHN,Autos,No,unlisted,CNE000000R36,6193948,01/11/2023,04/05/2023,1,unchanged,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Chord Energy,United States of America,USA,Oil & Gas,No,small,US6742152076,BLDDYB1,01/11/2023,23/04/2023,2,new,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Chubu Electric Power,Japan,JPN,Electricity Utilities,No,large,JP3526600006,6195609,01/11/2023,20/04/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not Applicable,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No
Chuetsu Pulp & Paper,Japan,JPN,Paper,No,unlisted,JP3513400006,6195706,01/11/2023,16/03/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Not Applicable,Yes,No,No,No,No,No,No,No,No,No,No
Chugoku,Japan,JPN,Electricity Utilities,No,medium,JP3522200009,6195900,01/11/2023,15/02/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No
Chung Hwa Pulp,Taiwan,TWN,Paper,No,small,TW0001905008,6196538,01/11/2023,07/03/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Not Applicable,No,No,No,No,No,No,No,Yes,No,No,No
Cia Paranaense de Energia,Brazil,BRA,Electricity Utilities,No,small,BRCPLEACNOR8,2192831,01/11/2023,25/04/2023,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Cisco Systems,United States of America,USA,Services,No,large,US17275R1023,2198163,01/11/2023,20/04/2023,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,No,No,No,No,No,No,No,No
Citigroup,United States of America,USA,Services,No,large,US1729674242,2297907,01/11/2023,28/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No
Civitas Resources,United States of America,USA,Oil & Gas,No,small,US17888H1032,BMG9GG2,01/11/2023,17/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
Clariant,Switzerland,CHE,Chemicals,No,medium,CH0012142631,7113990,01/11/2023,30/03/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Clearwater Paper,United States of America,USA,Paper,No,unlisted,US18538R1032,B3K9Z35,01/11/2023,07/04/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,No,No,No,No,No,No,No,No
Clearway Energy,United States of America,USA,Electricity Utilities,No,small,US18539C2044,BGJRH57,01/11/2023,26/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Not Applicable,Yes,No,No,Yes,No,No,No,No,No,No,No
Cleveland-Cliffs,United States of America,USA,Steel,No,small,US1858991011,BYVZ186,01/11/2023,05/05/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not Applicable,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No
Coal India,India,IND,Coal Mining,Yes,large,INE522F01014,B4Z9XF5,01/11/2023,14/02/2023,2,unchanged,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
Coca-Cola,United States of America,USA,Consumer Goods,Yes,large,US1912161007,2206657,01/11/2023,05/05/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No
Colgate-Palmolive,United States of America,USA,Consumer Goods,Yes,large,US1941621039,2209106,01/11/2023,19/04/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No
Comcast,United States of America,USA,Services,No,large,US20030N1019,2044545,01/11/2023,17/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not Applicable,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No
Commercial Metals,United States of America,USA,Steel,No,small,US2017231034,2213260,01/11/2023,24/04/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not Applicable,Yes,No,No,No,No,No,No,No,No,No,No
Companhia Siderurgica Nacional (Cement),Brazil,BRA,Cement,No,medium,BRCSNAACNOR6;US20440W1053,B019KX8;2220936,01/11/2023,05/05/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No
Companhia Siderurgica Nacional (Steel),Brazil,BRA,Steel,No,medium,BRCSNAACNOR6,"",01/11/2023,05/05/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No
Companhia Sud Americana de Vapores,Chile,CHL,Shipping,No,medium,CLP3064M1019,2196338,01/11/2023,17/04/2023,1,unchanged,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,Not Applicable,Yes,No,No,No,No,No,No,No,No,No,No
Compass Minerals,United States of America,USA,Diversified Mining,No,small,US20451N1019,2202763,01/11/2023,05/05/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No
Con Edison,United States of America,USA,Electricity Utilities,No,large,US2091151041,2216850,01/11/2023,17/04/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No
ConAgra Brands,United States of America,USA,Food Producers,No,medium,US2058871029,2215460,01/11/2023,05/05/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No
ConocoPhillips,United States of America,USA,Oil & Gas,Yes,large,US20825C1045,2685717,01/11/2023,05/05/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No
Consol Energy,United States of America,USA,Coal Mining,No,small,US20854L1089,BF4L070,01/11/2023,05/05/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No
Constellation,United States of America,USA,Electricity Utilities,No,medium,US21037T1097,BMH4FS1,01/11/2023,25/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,No,No,No,No,No,No,No,No,No
Contact Energy,New Zealand,NZL,Electricity Utilities,No,small,NZCENE0001S6,6152529,01/11/2023,24/04/2023,5,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Continental,Germany,DEU,Other Industrials,No,medium,DE0005439004,4598589,01/11/2023,24/04/2023,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No
Continental Resources,United States of America,USA,Oil & Gas,No,small,US2120151012,B1XGWS3,01/11/2023,24/04/2023,2,new,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Copa Holdings,United States of America,USA,Airlines,No,small,PAP310761054,B0TNJH9,01/11/2023,05/05/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Not Applicable,Yes,No,No,No,No,Yes,No,No,No,No,No
Corning,United States of America,USA,Other Industrials,No,medium,US2193501051,2224701,01/11/2023,24/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,No,Yes,No,Yes,No,No,No,No,No
Coronado Global Resources,Australia,AUS,Coal Mining,No,small,AU0000026122,BGV71W0,01/11/2023,17/04/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No
Costco,United States of America,USA,Services,No,large,US22160K1051,2701271,01/11/2023,24/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not Applicable,Yes,Yes,No,Yes,No,No,No,No,No,No,No
Coterra Energy,United States of America,USA,Oil & Gas,No,medium,US1270971039,2162340,01/11/2023,14/02/2023,2,unchanged,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No
Covestro,Germany,DEU,Chemicals,No,medium,DE0006062144,BYTBWY9,01/11/2023,24/04/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No
Croda International,United Kingdom,GBR,Chemicals,No,medium,GB00BJFFLV09,BJFFLV0,01/11/2023,24/04/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Crown Holdings,United States of America,USA,Other Industrials,No,small,US2283681060,2427986,01/11/2023,24/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,No,No,No,No,No,No,No,No,No
Cummins,United States of America,USA,Other Industrials,Yes,large,US2310211063,2240202,01/11/2023,12/04/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No
D.R. Horton,United States of America,USA,Services,No,medium,US23331A1097,2250687,01/11/2023,24/04/2023,2,new,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Not Applicable,No,No,No,No,No,No,No,No,No,No,No
DCP Midstream,United States of America,USA,Oil & Gas Distribution,No,small,US23311P1003,B0SF374,01/11/2023,24/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No Data,No,No,No
DL,South Korea,KOR,Cement,No,medium,KR7000210005,6249584,01/11/2023,29/04/2023,1,new,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,Not Applicable,No,No,No,No,No,No,No,No,No,No,No
DMCI,Philippines,PHL,Coal Mining,No,medium,PHY2088F1004,6272483,01/11/2023,17/04/2023,1,unchanged,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
DS Smith,United Kingdom,GBR,Paper,No,medium,GB0008220112,822011,01/11/2023,05/05/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
DSV,Denmark,DNK,Other Industrials,No,large,DK0060079531,B1WT5G2,01/11/2023,27/03/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,Yes,Yes,No,No,No,No,No,No,No
DT Midstream,United States of America,USA,Oil & Gas Distribution,No,small,US23345M1071,BN7L880,01/11/2023,04/05/2023,2,unchanged,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No
DTE Energy,United States of America,USA,Electricity Utilities,No,medium,US2333311072,2280220,01/11/2023,12/05/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not Applicable,Yes,No,No,No,No,Yes,No,No,Yes,No,No
Daido Steel,Japan,JPN,Steel,No,medium,JP3491000000,6250627,01/11/2023,15/03/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not Applicable,Yes,No,No,Yes,No,Yes,No,No,No,No,No
Daiki Aluminium,Japan,JPN,Aluminium,No,small,JP3480600000,6250490,01/11/2023,17/04/2023,1,new,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Not Applicable,Yes,No,No,No,No,Yes,Yes,No,No,No,No
Daikin Industries,Japan,JPN,Other Industrials,Yes,large,JP3481800005,6250724,01/11/2023,13/04/2023,5,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Daio Paper,Japan,JPN,Paper,No,small,JP3440400004,6870898,01/11/2023,11/04/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,No,Yes,No,Yes,No,No,No,No,No
Dalmia Bharat,India,IND,Cement,No,medium,INE00R701025,BFN2YR2,01/11/2023,27/03/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No
Danaher,United States of America,USA,Other Industrials,No,large,US2358511028,2250870,01/11/2023,24/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Not Applicable,Yes,No,No,No,No,No,No,No,No,No,No
Dangote Cement,Nigeria,NGA,Cement,Yes,large,NGDANGCEM008,B4TFNR1,01/11/2023,10/02/2023,2,unchanged,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Not Applicable,No,No,Yes,No,No,No,No,No,No,No,No
Danone,France,FRA,Food Producers,Yes,large,FR0000120644,B1Y9TB3,01/11/2023,05/05/2023,5,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Darden Restaurants,United States of America,USA,Services,No,medium,US2371941053,2289874,01/11/2023,17/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Not Applicable,No,No,No,No,No,No,No,No,No,No,No
Darling Ingredients,United States of America,USA,Food Producers,No,small,US2372661015,2250289,01/11/2023,28/04/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No
Deere & Co,United States of America,USA,Other Industrials,No,large,US2441991054,2261203,01/11/2023,19/04/2023,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,No,No,Yes,No,No,No,No,No,No,No
Dell Technologies,United States of America,USA,Other Industrials,No,large,US24703L2025,BHKD3S6,01/11/2023,05/05/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No
Delta Air Lines,United States of America,USA,Airlines,Yes,large,US2473617023,B1W9D46,01/11/2023,28/04/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No
Denka,Japan,JPN,Cement,No,medium,JP3549600009,6309820,01/11/2023,16/02/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Denso Corporation,Japan,JPN,Other Industrials,No,large,JP3551500006,6640381,01/11/2023,21/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Deutsche Post,Germany,DEU,Services,No,large,DE0005552004,4617859,01/11/2023,27/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,No,Yes,No,No,No,No,No,No,No
Deutsche Telekom,Germany,DEU,Services,No,large,DE0005557508,5842359,01/11/2023,25/04/2023,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No
Devon Energy,United States of America,USA,Oil & Gas,Yes,medium,US25179M1036,2480677,01/11/2023,05/05/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No
Diageo,United Kingdom,GBR,Consumer Goods,No,large,GB0002374006,237400,01/11/2023,24/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No
Diamondback Energy,United States of America,USA,Oil & Gas,No,medium,US25278X1090,B7Y8YR3,01/11/2023,05/05/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No
Disney,United States of America,USA,Services,No,large,US2546871060,2270726,01/11/2023,26/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Not Applicable,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No
Dollar General,United States of America,USA,Consumer Goods,No,large,US2566771059,B5B1S13,01/11/2023,24/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Not Applicable,Yes,No,No,No,No,No,No,No,No,No,No
Dollar Tree,United States of America,USA,Services,No,medium,US2567461080,2272476,01/11/2023,24/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Not Applicable,Yes,No,No,No,No,No,No,No,No,No,No
Dominion Energy,United States of America,USA,Electricity Utilities,Yes,large,US25746U1097,2542049,01/11/2023,05/05/2023,5,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Domtar,United States of America,USA,Paper,No,small,US2575592033,B1T84Z4,01/11/2023,07/05/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Not Applicable,Yes,No,No,No,Yes,No,No,No,No,No,No
Dongfeng Motor Group,China,CHN,Autos,No,large,CNE100000312,B0PH5N3,01/11/2023,17/04/2023,1,unchanged,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Dow,United States of America,USA,Chemicals,Yes,large,US2605571031,BHXCF84,01/11/2023,28/04/2023,5,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Drax Group,United Kingdom,GBR,Electricity Utilities,No,small,GB00B1VNSX38,B1VNSX3,01/11/2023,24/04/2023,5,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
DuPont de Nemours,United States of America,USA,Chemicals,No,large,US26614N1028,BK0VN47,01/11/2023,19/04/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No
Dubai Electricity and Water Authority,United Arab Emirates,ARE,Electricity Utilities,No,large,AED001801011,BJLTVJ4,01/11/2023,17/04/2023,2,new,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Not Applicable,Yes,No,No,No,No,No,No,No,No,No,No
Duke Energy,United States of America,USA,Electricity Utilities,Yes,large,US26441C2044,B7VD3F2,01/11/2023,26/03/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Not Applicable,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No
E.ON,Germany,DEU,Electricity Utilities,Yes,large,DE000ENAG999,4942904;4943190,01/11/2023,04/05/2023,5,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
EDF,France,FRA,Electricity Utilities,Yes,large,FR0010242511,B0NJJ17,01/11/2023,05/05/2023,5,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
EDP,Portugal,PRT,Electricity Utilities,No,large,PTEDP0AM0009,4103596,01/11/2023,05/05/2023,5,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
EDP Renovaveis,Portugal,PRT,Electricity Utilities,No,small,ES0127797019,B39GNW2,01/11/2023,01/05/2023,2,new,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Not Applicable,No,No,Yes,No,No,No,No,No,No,No,No
EGCO,Thailand,THA,Electricity Utilities,No,small,TH0465010005,6304632,01/11/2023,24/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
ENN Ecological Holdings,China,CHN,Coal Mining,No,unlisted,CNE000000DG7,6445467;BYYFJJ0,01/11/2023,17/04/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No
EOG Resources,United States of America,USA,Oil & Gas,No,large,US26875P1012,2318024,01/11/2023,04/02/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No
EQT,United States of America,USA,Oil & Gas,No,small,US26884L1098,2319414,01/11/2023,28/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No
EVA Airways,China,CHN,Airlines,No,large,TW0002618006,6186023,01/11/2023,16/02/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,No,No,No,Yes,No,No,No,No,No
Eagle Materials,United States of America,USA,Cement,No,small,US26969P1084,2191399,01/11/2023,27/04/2023,2,unchanged,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Not Applicable,No,No,No,No,No,No,No,No,No,No,No
East Japan Railway,Japan,JPN,Other Industrials,No,large,JP3783600004,6298542,01/11/2023,24/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Eastman Chemical,United States of America,USA,Chemicals,No,medium,US2774321002,2298386,01/11/2023,05/05/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No
Easyjet,United Kingdom,GBR,Airlines,No,medium,GB00B7KR2P84,B7KR2P8,01/11/2023,04/05/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No
Eaton Corp,United States of America,USA,Other Industrials,No,large,IE00B8KQN827,B8KQN82,01/11/2023,12/04/2023,5,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Ecolab,United States of America,USA,Chemicals,No,large,US2788651006,2304227,01/11/2023,02/03/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No
Ecopetrol,Colombia,COL,Oil & Gas,Yes,large,COC04PA00016,B2473N4,01/11/2023,24/04/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No
Edison International,United States of America,USA,Electricity Utilities,No,medium,US2810201077,2829515,01/11/2023,25/04/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Not Applicable,Yes,No,No,Yes,No,No,No,No,No,No,No
Electric Power Development,Japan,JPN,Electricity Utilities,No,large,JP3551200003,B02Q328,01/11/2023,14/03/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No
